,Date,Internal_Number,InfoCode,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB,Mcap_Units_Index_Currency,Full_Mcap_Units_Index_Currency,Free_Float,Capfactor,FOR_FF,Weight
54112,2009-06-22,ID11JG,33297.0,ID1000105000,B1HPWC0,CENTRAL PROTEINA PRIMA,ID,IDR,45102010.0,15010412.0,375260308.06835204,0.04,1.0,0.04,3.93144824654547e-05
54121,2009-06-22,ID3086,2128.0,ID1000104508,B1F1R58,TEMPO SCAN PACIFIC,ID,IDR,20103015.0,13924796.0,278495920.78336,0.05,1.0,0.05,3.647109407636738e-05
54129,2009-06-22,ID8014,35121.0,ID1000098007,B00ZNP0,BANK CIMB NIAGA,ID,IDR,30101010.0,74469043.0,1489380863.6928,0.05,1.0,0.05,0.0001950454048325
54135,2009-06-22,ID20EB,137567.0,ID1000106206,B1Z5HY9,MEDIA NUSNT.CITRA,ID,IDR,40301035.0,48919554.0,372294948.01408005,0.22,0.5972727,0.13,0.0001281275256102
54149,2009-06-22,EV043,26993.0,RU000A0F5UN3,B0JLMP2,OGK-5,RU,RUB,65101015.0,113106233.0,1343304046.5472598,0.0842,1.0,0.08,0.0002962419028879
54174,2009-06-22,US01AX,138591.0,BMG253431073,B23Z3F1,COSAN 'A',BR,USD,60101020.0,9397744.0,939774423.3868799,0.01,1.0,0.01,2.4614077328645757e-05
54220,2009-06-22,KR17EX,34733.0,KR7000020008,6276247,DONG WHA PHARM.,KR,KRW,20103015.0,13334103.0,222235043.94000003,0.06,1.0,0.06,3.492398200569491e-05
54286,2009-06-22,KR06UB,136681.0,KR7095660007,B1WGT83,NEOWIZ,KR,KRW,40203040.0,16973199.0,565772868.71875,0.03,1.0,0.03,4.445531105130048e-05
54295,2009-06-22,KR06ZG,149794.0,KR7101060002,B2Q63R3,SBS MEDIA HOLDINGS,KR,KRW,40301035.0,8584526.0,429226241.86386,0.02,1.0,0.02,2.248413946940564e-05
54317,2009-06-22,KR130F,34335.0,KR7078020005,B1LYT44,EBEST INVESTMENT & SECS.,KR,KRW,30202015.0,25806636.0,215055324.5708,0.12,1.0,0.12,6.759138513415703e-05
54330,2009-06-22,KR1FNE,25296.0,KR7001370006,6495354,FNC KOLON,KR,KRW,40204020.0,13056123.0,118692022.3398,0.11,1.0,0.11,3.41959113947252e-05
54495,2009-06-22,ZA10JT,25927.0,ZAE000019063,6175430,RCL FOODS,ZA,ZAR,45102010.0,80936584.0,674471555.7381091,0.12,1.0,0.12,0.000211984848416
54520,2009-06-22,EG10QL,43425.0,EGS60231C015,6857642,SUEZ CANAL BANK,EG,EGP,30101010.0,19064036.0,146646429.22426298,0.13,1.0,0.13,4.993152146941718e-05
54521,2009-06-22,EG10XS,39249.0,EGS22181C019,6123462,EGYPTIAN CNTG.MOKHTAR,EG,EGP,50101010.0,3835028.0,127834260.62400001,0.03,1.0,0.03,1.0044503845765717e-05
54522,2009-06-22,EG211Y,36505.0,EGS60301C016,6440752,HOUSING & DEV.BANK,EG,EGP,30101010.0,33213378.0,301939803.04302764,0.11,1.0,0.11,8.699073463136916e-05
54724,2009-06-22,486992,35470.0,TRATUDDF91H4,B03MYH7,T DEMIR DOKUM FKI.,TR,TRY,50101035.0,6350112.0,158752802.46779206,0.04,1.0,0.04,1.6631879716404422e-05
54825,2009-06-22,TH117J,35054.0,TH0171B10Z05,6791795,KGI SECURITIES,TH,THB,30202015.0,9654357.0,68812173.74355605,0.65,0.2158462,0.14,2.5286184615834652e-05
54830,2009-06-22,TH118K,24335.0,TH0842010009,B08F0Y0,PHATRA SECURITIES,TH,THB,30202015.0,6280921.0,100014672.8,1.0,0.0628,0.06,1.6450658284489876e-05
54855,2009-06-22,PS043,138342.0,SG1V35936920,B23DMQ9,ASCENDAS INDIA TRUST,IN,SGD,35102030.0,51913534.0,385133074.83918405,0.79,0.170625,0.13,0.0001359692007229
54881,2009-09-21,IL20KP,31224.0,IL0010972789,B18MCB9,AMOT,IL,ILS,35101010.0,23607624.0,337251769.58725,0.07,1.0,0.07,5.004942758895159e-05
54892,2009-09-21,IL20MR,136379.0,IL0011040099,B2403S8,BRITISH ISRAEL,IL,ILS,35101010.0,18491752.0,308195843.5847922,0.06,1.0,0.06,3.920350488117105e-05
55162,2009-09-21,TW11I9,21367.0,TW0002851003,6271372,CENTRAL REIN.,TW,TWD,30302020.0,25514957.0,212624673.8304,0.12,1.0,0.12,5.40930757287016e-05
55230,2009-09-21,MY20H3,12695.0,MYL4502OO000,6812555,MEDIA PRIMA,MY,MYR,40301035.0,34047903.0,370488530.4024805,0.51,0.1801961,0.09,7.218337837616135e-05
55274,2009-09-21,MY14ZO,25979.0,MYL5266OO001,6602938,EON CAPITAL,MY,MYR,30101010.0,105774142.0,1057741446.0376412,0.1,1.0,0.1,0.0002242468475782
55288,2009-09-21,US01AX,138591.0,BMG253431073,B23Z3F1,COSAN 'A',BR,USD,60101020.0,112005778.0,1400072221.1289601,0.08,1.0,0.08,0.0002374582497397
55452,2009-09-21,IN0AWB,2083.0,INE228A01035,6142854,USHA MARTIN,IN,INR,55102015.0,51777199.0,361572597.8267414,0.73,0.1961644,0.14,0.0001097704356909
55463,2009-09-21,IN097L,5156.0,INE027A01015,6101101,RASHTRIYA CHEMS.& FERT.,IN,INR,55201000.0,61340675.0,766758428.0197018,0.08,1.0,0.08,0.000130045517146
55478,2009-09-21,IN0AGV,45276.0,INE256C01024,B05N274,TRIVENI ENGR.& INDS.,IN,INR,45102035.0,80741853.0,576727469.9718,0.3,0.4666667,0.14,0.000171177053867
55489,2009-09-21,IN0319,5161.0,INE178A01016,6121563,CHENNAI PETROLEUM CORPORATION,IN,INR,60101020.0,66033914.0,767836191.2761465,0.21,0.4095238,0.09,0.0001399954352525
55496,2009-09-21,IN15W7,4762.0,INE702A01013,6169154,VARUN SHIPPING,IN,INR,50206030.0,23828635.0,185581258.129131,0.54,0.2377778,0.13,5.0517982748965225e-05
55497,2009-09-21,IN02W3,141232.0,INE483A01010,B236VP0,CENTRAL BANK OF INDIA,IN,INR,30101010.0,135670708.0,1043620814.9860088,0.13,1.0,0.13,0.0002876291691187
55500,2009-09-21,IN08CP,18651.0,INE347G01014,B00KT68,PETRONET L N G,IN,INR,65102020.0,103315641.0,1174041396.019425,0.4,0.22,0.09,0.0002190346937512
55503,2009-09-21,IN158J,33270.0,INE561H01018,B11Y5Y6,PARSVNATH DEVELOPERS,IN,INR,35101010.0,46984566.0,469845661.92748,0.1,1.0,0.1,9.96097969797942e-05
55522,2009-09-21,IN06OZ,5233.0,INE727D01022,B03PY54,K S OILS,IN,INR,45102020.0,56800624.0,514964689.46699995,0.64,0.1723438,0.11,0.0001204203658062
55556,2009-09-21,IN029G,28427.0,INE243D01012,B03JNJ3,BF UTILITIES,IN,INR,65101015.0,82119853.0,746544150.956052,0.11,1.0,0.11,0.0001740984876893
55560,2009-09-21,IN05AK,4741.0,INE176B01026,6709776,HAVELL'S INDIA,IN,INR,50202010.0,17190783.0,397934935.19853693,0.34,0.1270588,0.04,3.644538090558711e-05
55575,2009-09-21,IN06T4,5388.0,INE269B01029,B1KMXJ2,LAKSHMI MACHINE WKS.,IN,INR,50204050.0,39471613.0,365139653.4210844,0.51,0.2119608,0.11,8.368193413545642e-05
55874,2009-09-21,KR06ZG,149794.0,KR7101060002,B2Q63R3,SBS MEDIA HOLDINGS,KR,KRW,40301035.0,9164694.0,458234624.11202997,0.02,1.0,0.02,1.9429642251498884e-05
55969,2009-09-21,BR13IO,137.0,BRROMIACNOR8,B07C730,INDUSTRIAS ROMI ON,BR,BRL,50204040.0,53830010.0,489363721.595525,0.11,1.0,0.11,0.0001141225049843
56044,2009-09-21,EV043,26993.0,RU000A0F5UN3,B0JLMP2,OGK-5,RU,RUB,65101015.0,59950716.0,1844638433.7149293,0.0325,1.0,0.03,0.0001270987296031
56081,2009-09-21,EG10OJ,7224.0,EGS30201C015,6108845,DELTA SUGAR,EG,EGP,45102035.0,44402885.0,555036057.4611807,0.08,1.0,0.08,9.413649495383544e-05
56082,2009-09-21,EG10XS,39249.0,EGS22181C019,6123462,EGYPTIAN CNTG.MOKHTAR,EG,EGP,50101010.0,7987580.0,266252672.47394398,0.03,1.0,0.03,1.6934097511081926e-05
56083,2009-09-21,EG211Y,36505.0,EGS60301C016,6440752,HOUSING & DEV.BANK,EG,EGP,30101010.0,33898428.0,308167524.6585102,0.11,1.0,0.11,7.186648336847829e-05
56100,2009-09-21,EG111X,74750.0,EGS740C1C010,B0JFRH1,SUES CANAL CO.FOR TECH. SETTLING,EG,EGP,50205025.0,33969269.0,283077242.21719545,0.12,1.0,0.12,7.20166700835763e-05
56190,2009-09-21,B03MQ4,31906.0,TRABOSSA91B5,B03MQ48,BOSSA TICARET,TR,TRY,55101020.0,3661828.0,192727792.152,0.019,1.0,0.02,7.763271531654156e-06
56602,2009-12-21,TW11I9,21367.0,TW0002851003,6271372,CENTRAL REIN.,TW,TWD,30302020.0,26559724.0,221331032.379392,0.12,1.0,0.12,5.1805782014610446e-05
56643,2009-12-21,MY20H3,12695.0,MYL4502OO000,6812555,MEDIA PRIMA,MY,MYR,40301035.0,39312966.0,427779748.3980224,0.51,0.1801961,0.09,7.668148008404726e-05
56652,2009-12-21,MY14ZO,25979.0,MYL5266OO001,6602938,EON CAPITAL,MY,MYR,30101010.0,138843627.0,1388436238.8579633,0.1,1.0,0.1,0.0002708199330113
56864,2009-12-21,IN0AWB,2083.0,INE228A01035,6142854,USHA MARTIN,IN,INR,55102015.0,55383188.0,386754066.25703543,0.73,0.1961644,0.14,0.0001080270775706
56877,2009-12-21,IN097L,5156.0,INE027A01015,6101101,RASHTRIYA CHEMS.& FERT.,IN,INR,55201000.0,68023276.0,850290970.4085488,0.08,1.0,0.08,0.0001326820643307
56894,2009-12-21,IN0AGV,45276.0,INE256C01024,B05N274,TRIVENI ENGR.& INDS.,IN,INR,45102035.0,81269797.0,580498491.7620001,0.3,0.4666667,0.14,0.0001585199224116
56906,2009-12-21,IN0319,5161.0,INE178A01016,6121563,CHENNAI PETROLEUM CORPORATION,IN,INR,60101020.0,71078213.0,667550313.2319001,0.26,0.4095238,0.11,0.0001386408386121
56913,2009-12-21,IN15W7,4762.0,INE702A01013,6169154,VARUN SHIPPING,IN,INR,50206030.0,22490686.0,175161093.18267018,0.54,0.2377778,0.13,4.386896401013244e-05
56915,2009-12-21,IN02W3,141232.0,INE483A01010,B236VP0,CENTRAL BANK OF INDIA,IN,INR,30101010.0,166133854.0,1186670401.3309436,0.14,1.0,0.14,0.0003240505897414
56918,2009-12-21,IN08CP,18651.0,INE347G01014,B00KT68,PETRONET L N G,IN,INR,65102020.0,97214238.0,1104707250.0,0.4,0.22,0.09,0.0001896201791307
56941,2009-12-21,IN06OZ,5233.0,INE727D01022,B03PY54,K S OILS,IN,INR,45102020.0,58785024.0,532955631.4214733,0.64,0.1723438,0.11,0.0001146624919395
56979,2009-12-21,IN029G,28427.0,INE243D01012,B03JNJ3,BF UTILITIES,IN,INR,65101015.0,111097577.0,1009978023.4049786,0.11,1.0,0.11,0.0002167001756649
56985,2009-12-21,IN05AK,4741.0,INE176B01026,6709776,HAVELL'S INDIA,IN,INR,50202010.0,31768901.0,735391469.6259214,0.34,0.1270588,0.04,6.196648579818599e-05
57001,2009-12-21,IN06T4,5388.0,INE269B01029,B1KMXJ2,LAKSHMI MACHINE WKS.,IN,INR,50204050.0,49528312.0,458171055.66333604,0.51,0.2119608,0.11,9.660691259531216e-05
57037,2009-12-21,PH1029,47068.0,PHY689911352,B1FHVG5,PHILEX MINING,PH,PHP,55102040.0,101224156.0,1643798403.781632,0.21,0.2932353,0.06,0.0001974416812595
57137,2009-12-21,KR03IW,2190.0,KR7010120004,6378217,LS ELECTRIC,KR,KRW,50202010.0,71791200.0,2393040000.0,0.03,1.0,0.03,0.0001400315476835
57336,2009-12-21,BR00RT,150147.0,BRHYPEACNOR0,B2QY968,HYPERMARCAS ON,BR,BRL,45102020.0,619857577.0,5165479728.806739,0.12,1.0,0.12,0.0012090564839516
57341,2009-12-21,BR049F,33334.0,BRODPVACNOR4,B1H6R62,ODONTOPREV ON,BR,BRL,20101020.0,90051893.0,818653634.3475561,0.11,1.0,0.11,0.000175649744657
57394,2009-12-21,BR0237,32877.0,BRBISAACNOR8,B1FY4S9,BROOKFIELD ON,BR,BRL,35101010.0,211005637.0,1918233024.1795125,0.11,1.0,0.11,0.0004115747601246
57411,2009-12-21,CL0243,658.0,CL0000000183,B0131Z9,MASISA PF.SHS.,CL,CLP,55101010.0,118442703.0,987022583.2425016,0.12,1.0,0.12,0.0002310271316388
57468,2009-12-21,EV043,26993.0,RU000A0F5UN3,B5B5BY9,ENEL ROSSIYA,RU,RUB,65101015.0,86226215.0,2653115493.532384,0.0325,1.0,0.03,0.000168187609865
57505,2009-12-21,EG10OJ,7224.0,EGS30201C015,6108845,DELTA SUGAR,EG,EGP,45102035.0,35394183.0,442427288.00699854,0.08,1.0,0.08,6.903774034260411e-05
57506,2009-12-21,EG10XS,39249.0,EGS22181C019,6123462,EGYPTIAN CNTG.MOKHTAR,EG,EGP,50101010.0,4243722.0,141457407.4814832,0.03,1.0,0.03,8.277545988904352e-06
57507,2009-12-21,EG211Y,36505.0,EGS60301C016,6440752,HOUSING & DEV.BANK,EG,EGP,30101010.0,27495207.0,249956427.0658203,0.11,1.0,0.11,5.3630478249269126e-05
57520,2009-12-21,EG111X,74750.0,EGS740C1C010,B0JFRH1,SUES CANAL CO.FOR TECH. SETTLING,EG,EGP,50205025.0,27374071.0,228117256.0839,0.12,1.0,0.12,5.3394197736334506e-05
57603,2009-12-21,B03MQ4,31906.0,TRABOSSA91B5,B03MQ48,BOSSA TIVSNY.ISTML.,TR,TRY,55101020.0,3190686.0,167930860.525184,0.019,1.0,0.02,6.223558023158273e-06
58065,2010-03-22,MY20H3,12695.0,MYL4502OO000,6812555,MEDIA PRIMA,MY,MYR,40301035.0,76408432.0,568092357.1534796,0.54,0.2490741,0.13,0.0001415083815606
58196,2010-03-22,HK01Z1,52469.0,HK0031044180,6215875,CHINA AEROSPACE INTERNATIONAL HOLDINGS,CN,HKD,50202010.0,56842549.0,516750408.9137389,0.11,1.0,0.11,0.0001052723750799
58297,2010-03-22,IN0308,5182.0,INE085A01013,6099938,CHAMBAL FERT.&CHEMS.,IN,INR,55201015.0,74413322.0,572410153.5154986,0.13,1.0,0.13,0.0001378134387415
58302,2010-03-22,IN097L,5156.0,INE027A01015,6101101,RASHTRIYA CHEMS.& FERT.,IN,INR,55201000.0,70518903.0,1007412879.0996,0.07,1.0,0.07,0.0001306009765121
58319,2010-03-22,IN0AGV,45276.0,INE256C01024,B05N274,TRIVENI ENGR.& INDS.,IN,INR,45102035.0,109481461.0,782010385.086,0.3,0.4666667,0.14,0.000202759616334
58322,2010-03-22,IN02SZ,4588.0,INE824B01013,6288521,TATA STEEL BSL,IN,INR,55102010.0,47251634.0,1575053844.4699628,0.03,1.0,0.03,8.751000483082302e-05
58331,2010-03-22,IN0319,5161.0,INE178A01016,6121563,CHENNAI PETROLEUM CORPORATION,IN,INR,60101020.0,78554449.0,913423671.256799,0.33,0.2606061,0.09,0.0001454828040755
58337,2010-03-22,IN15W7,4762.0,INE702A01013,6169154,VARUN SHIPPING,IN,INR,50206030.0,11550803.0,165011456.91290846,0.07,1.0,0.07,2.1392081940063385e-05
58339,2010-03-22,IN02W3,141232.0,INE483A01010,B236VP0,CENTRAL BANK OF INDIA,IN,INR,30101010.0,172169556.0,1324381218.676992,0.13,1.0,0.13,0.0003188579399662
58342,2010-03-22,IN08CP,18651.0,INE347G01014,B00KT68,PETRONET L N G,IN,INR,65102020.0,110892553.0,1260142621.9414499,0.4,0.22,0.09,0.0002053729580808
58343,2010-03-22,IN065G,31657.0,INE324A01024,6152723,JINDAL SAW,IN,INR,55102010.0,184052390.0,1314659943.282202,0.14,1.0,0.14,0.0003408649431684
58384,2010-03-22,IN09S6,146750.0,INE232I01014,B1WT346,SUN PHARMA ADVD.RESH.,IN,INR,20103015.0,4299960.0,429995880.8967616,0.01,1.0,0.01,7.96352397828921e-06
58401,2010-03-22,IN029G,28427.0,INE243D01012,B03JNJ3,BF UTILITIES,IN,INR,65101010.0,84127373.0,764794335.6833978,0.11,1.0,0.11,0.000155803856807
58407,2010-03-22,IN05AK,4741.0,INE176B01026,6709776,HAVELL'S INDIA,IN,INR,50202010.0,70880974.0,744548006.3536751,0.34,0.28,0.1,0.0001312715318406
58417,2010-03-22,IN117E,21239.0,INE944F01028,B0VY3T0,RADICO KHAITAN,IN,INR,45101015.0,47276232.0,372010680.553845,0.44,0.288825,0.13,8.755556031571543e-05
58423,2010-03-22,IN06T4,5388.0,INE269B01029,B1KMXJ2,LAKSHMI MACHINE WKS.,IN,INR,50204050.0,53905186.0,498660160.2204633,0.51,0.2119608,0.11,9.98323801303128e-05
58433,2010-03-22,IN03NV,74322.0,INE836F01026,B1RMW32,DISH TV INDIA,IN,INR,40301035.0,99151918.0,852552876.9118012,0.36,0.3230556,0.12,0.0001836293073624
58444,2010-03-22,IN062D,23977.0,INE351F01018,B0703M5,JAIPRAKASH PWR.VENTURES,IN,INR,65101010.0,86654510.0,722120901.3913368,0.12,1.0,0.12,0.0001604841133898
58450,2010-03-22,IN0AJY,11956.0,INE517B01013,6326067,TATA TLSVS.MAHARASTRA,IN,INR,15102015.0,119930902.0,1009145718.6412879,0.22,0.5402,0.12,0.0002221119763474
58451,2010-03-22,IN80W9,215340.0,INE805D01026,B03PX13,SUNTECK REALTY,IN,INR,35101010.0,100735811.0,812385557.8223276,0.44,0.2818182,0.12,0.0001865626764832
58452,2010-03-22,IN017D,4952.0,INE421A01028,B07Y0K4,ABAN OFFSHORE,IN,INR,60101015.0,55085900.0,1140495656.062093,0.57,0.0847368,0.05,0.0001020190619251
58456,2010-03-22,IN02CJ,18650.0,INE376G01013,6741251,BIOCON,IN,INR,20103010.0,53378411.0,1261184969.2841167,0.41,0.1032293,0.04,9.885679306818587e-05
58457,2010-03-22,IN02NU,30419.0,INE589G01011,B0PDQG1,BOMBAY RAYON FASHIONS,IN,INR,40204020.0,46317443.0,512928337.62399995,0.58,0.1556897,0.09,8.577988352067083e-05
58564,2010-03-22,KR135K,25452.0,KR7005680004,6113526,SAM YOUNG ELTN.,KR,KRW,10102015.0,7256144.0,181403600.0,0.04,1.0,0.04,1.343837541138043e-05
58589,2010-03-22,KR142I,10171.0,KR7034830000,6354488,KOREA REAL ESTATE INV. TST.,KR,KRW,35102040.0,11472843.0,191214050.40192002,0.06,1.0,0.06,2.1247700055267385e-05
58615,2010-03-22,KR111E,22077.0,KR7014830004,B04H0M8,UNID,KR,KRW,55201000.0,30119039.0,215135909.813888,0.14,1.0,0.14,5.578044662730069e-05
58617,2010-03-22,KR06S9,33777.0,KR7093370005,B1LCKX4,FOOSUNG,KR,KRW,55201020.0,27756907.0,308410055.80875003,0.09,1.0,0.09,5.140577922995647e-05
58847,2010-03-22,BR0237,32877.0,BRBISAACNOR8,B1FY4S9,BROOKFIELD ON,BR,BRL,35101010.0,194437385.0,1944373845.390336,0.1,1.0,0.1,0.0003600979492189
58860,2010-03-22,CL02HG,20822.0,CL0000000449,B031CM5,SALFA CORPORATION,CL,CLP,50101015.0,82410124.0,824101233.1615077,0.1,1.0,0.1,0.0001526235124344
58865,2010-03-22,CL0243,658.0,CL0000000183,B0131Z9,MASISA PF.SHS.,CL,CLP,55101010.0,120763587.0,1006363282.7185026,0.12,1.0,0.12,0.0002236541085914
58912,2010-03-22,TH20X9,25612.0,TH0285010Z07,6712901,BANGKOK LAND,TH,THB,35101010.0,9729925.0,324330538.29402626,0.03,1.0,0.03,1.8019816706307883e-05
58922,2010-03-22,EV043,26993.0,RU000A0F5UN3,B5B5BY9,ENEL ROSSIYA,RU,RUB,65101015.0,103047996.0,3170705973.738436,0.0325,1.0,0.03,0.0001908448420591
58960,2010-03-22,EG10OJ,7224.0,EGS30201C015,6108845,DELTA SUGAR,EG,EGP,45102035.0,35254127.0,440676571.1191784,0.08,1.0,0.08,6.529062728447545e-05
58961,2010-03-22,EG211Y,36505.0,EGS60301C016,6440752,HOUSING & DEV.BANK,EG,EGP,30101010.0,50724376.0,461130681.61786336,0.11,1.0,0.11,9.39415214466548e-05
58978,2010-03-22,EG10KF,8153.0,EGS07061C012,B055BY0,INTERNATIONAL AGRI.PRDS.,EG,EGP,45102010.0,10397986.0,79984511.17850856,0.13,1.0,0.13,1.925706537663502e-05
59031,2010-03-22,ZA205G,6503.0,ZAE000013017,6613219,PSG GROUP,ZA,ZAR,30202015.0,26848954.0,671223855.7244085,0.04,1.0,0.04,4.972425068395614e-05
59058,2010-03-22,B03MQ4,31906.0,TRABOSSA91B5,B03MQ48,BOSSA TIVSNY.ISTML.,TR,TRY,55101020.0,3259892.0,171573263.93544024,0.019,1.0,0.02,6.03731851194736e-06
59118,2010-03-22,MX016Q,10597.0,MXP001661018,2639349,GRUPO AEROPORTUARIO DEL SURESTE 'B',MX,MXN,50206060.0,140562767.0,1405627680.6920972,0.1,1.0,0.1,0.0002603221810107
59517,2010-06-21,MY20H3,12695.0,MYL4502OO000,6812555,MEDIA PRIMA,MY,MYR,40301035.0,87866974.0,653285950.6730149,0.54,0.2490741,0.13,0.0001667181286202
59583,2010-06-21,KY103M,144342.0,US45822B2051,B1R14X3,INTEGRA GROUP GDR REGS,RU,USD,60101030.0,16187225.0,404680653.414912,0.04,1.0,0.04,3.071351768133782e-05
59754,2010-06-21,IN097L,5156.0,INE027A01015,6101101,RASHTRIYA CHEMS.& FERT.,IN,INR,55201000.0,78324977.0,979062231.0485487,0.08,1.0,0.08,0.0001486132160379
59763,2010-06-21,IN01GM,6622.0,INE434A01013,6580368,ANDHRA BANK,IN,INR,30101010.0,203514380.0,1432578850.125,0.38,0.3738462,0.14,0.0003861466377675
59771,2010-06-21,IN0AGV,45276.0,INE256C01024,B05N274,TRIVENI ENGR.& INDS.,IN,INR,45102035.0,76893266.0,549237571.424711,0.3,0.4666667,0.14,0.0001458966984685
59784,2010-06-21,IN0319,5161.0,INE178A01016,6121563,CHENNAI PETROLEUM CORPORATION,IN,INR,60101020.0,56666241.0,805334054.0188107,0.27,0.2606061,0.07,0.0001075180949723
59793,2010-06-21,IN02W3,141232.0,INE483A01010,B236VP0,CENTRAL BANK OF INDIA,IN,INR,30101010.0,165577780.0,1273675232.48448,0.13,1.0,0.13,0.0003141660212708
59796,2010-06-21,IN08CP,18651.0,INE347G01014,B00KT68,PETRONET L N G,IN,INR,65102020.0,99142272.0,1287561947.0505,0.35,0.22,0.08,0.0001881117933456
59812,2010-06-21,IN07HT,5053.0,INE153A01019,6117807,MAHANAGAR TEL.NIGAM,IN,INR,15102015.0,119883850.0,879148291.329315,0.25,0.5454545,0.14,0.0002274667057931
59821,2010-06-21,IN02CJ,18650.0,INE376G01013,6741251,BIOCON,IN,INR,20103010.0,58694030.0,1386778419.3184059,0.41,0.1032293,0.04,0.0001113656064083
59827,2010-06-21,IN08HU,10898.0,INE010A01011,6104337,PRISM JOHNSON,IN,INR,50101030.0,85859258.0,636964061.0596107,0.41,0.3287671,0.13,0.0001629087035418
59836,2010-06-21,IN02NU,30419.0,INE589G01011,B0PDQG1,BOMBAY RAYON FASHIONS,IN,INR,40204020.0,45448974.0,595755577.62,0.49,0.1556897,0.08,8.623453782520865e-05
59864,2010-06-21,IN05AK,4741.0,INE176B01026,6709776,HAVELL'S INDIA,IN,INR,50202010.0,79444924.0,834505457.7490548,0.34,0.28,0.1,0.0001507381949634
59867,2010-06-21,IN0AJY,11956.0,INE517B01013,6326067,TATA TLSVS.MAHARASTRA,IN,INR,15102015.0,108657266.0,914284851.341866,0.22,0.5402,0.12,0.000206165470641
59870,2010-06-21,IN80W9,215340.0,INE805D01026,B03PX13,SUNTECK REALTY,IN,INR,35101010.0,106123221.0,855832402.0775894,0.44,0.2818182,0.12,0.0002013573929184
59876,2010-06-21,IN117E,21239.0,INE944F01028,B0VY3T0,RADICO KHAITAN,IN,INR,45101015.0,42617861.0,343153479.786525,0.43,0.288825,0.12,8.086280553734798e-05
59882,2010-06-21,IN06T4,5388.0,INE269B01029,B1KMXJ2,LAKSHMI MACHINE WKS.,IN,INR,50204050.0,66332173.0,539561291.2786155,0.58,0.2119608,0.12,0.0001258581608816
59892,2010-06-21,IN03NV,74322.0,INE836F01026,B1RMW32,DISH TV INDIA,IN,INR,40301035.0,116093538.0,998224559.977874,0.36,0.3230556,0.12,0.0002202749966131
59895,2010-06-21,IN159K,30353.0,INE184H01027,B0K4Y65,EVEREST KANTO CYLD.,IN,INR,50203030.0,37060891.0,289289598.530093,0.46,0.2785,0.13,7.031905289601113e-05
59899,2010-06-21,IN017D,4952.0,INE421A01028,B07Y0K4,ABAN OFFSHORE,IN,INR,60101015.0,34205281.0,708184306.2349831,0.57,0.0847368,0.05,6.490084018654393e-05
59900,2010-06-21,IN08W9,140312.0,INE621H01010,B292TZ8,RELIGARE ENTERPRISES,IN,INR,30202015.0,44288464.0,1104119968.216675,0.23,0.1744,0.04,8.40325949718555e-05
59905,2010-06-21,IN062D,23977.0,INE351F01018,B0703M5,JAIPRAKASH PWR.VENTURES,IN,INR,65101010.0,387760812.0,3231340021.006389,0.12,1.0,0.12,0.000735734417449
60043,2010-06-21,KR142I,10171.0,KR7034830000,6354488,KOREA REAL ESTATE INV. TST.,KR,KRW,35102040.0,11374372.0,189572871.12192002,0.06,1.0,0.06,2.1581646980017506e-05
60266,2010-06-21,BR01TW,139809.0,BRMARIACNOR7,B28KHR1,LOJAS MARISA ON,BR,BRL,40401020.0,248118975.0,2067658097.5983253,0.12,1.0,0.12,0.0004707790572959
60294,2010-06-21,BR0237,32877.0,BRBISAACNOR8,B1FY4S9,BROOKFIELD ON,BR,BRL,35101010.0,194016858.0,1940168583.3661594,0.1,1.0,0.1,0.0003681261117122
60295,2010-06-21,BR03UZ,153189.0,BRLLXLACNOR8,B3BXMS0,PRUMO LOGISTICA ON,BR,BRL,50206060.0,120944305.0,3023607609.714288,0.04,1.0,0.04,0.0002294788050499
60298,2010-06-21,BR209D,152886.0,BRESTCACNOR5,B23PBF7,YDUQS PARTICIPACOES ON,BR,BRL,40201010.0,107146901.0,892890862.488,0.12,1.0,0.12,0.0002032997155697
60310,2010-06-21,CL0243,658.0,CL0000000183,B0131Z9,MASISA PF.SHS.,CL,CLP,55101010.0,118087734.0,984064447.3728,0.12,1.0,0.12,0.0002240587689463
60362,2010-06-21,PS043,138342.0,SG1V35936920,B23DMQ9,ASCENDAS INDIA TRUST,IN,SGD,35102030.0,88159103.0,612876899.796288,0.69,0.2084706,0.14,0.0001672724119644
60367,2010-06-21,EV043,26993.0,RU000A0F5UN3,B5B5BY9,ENEL ROSSIYA,RU,RUB,65101015.0,85562444.0,2632690324.2565093,0.0325,1.0,0.03,0.0001623455309141
60405,2010-06-21,EG10OJ,7224.0,EGS30201C015,6108845,DELTA SUGAR,EG,EGP,45102035.0,27872043.0,348400523.9485056,0.08,1.0,0.08,5.288420254215952e-05
60406,2010-06-21,EG211Y,36505.0,EGS60301C016,6440752,HOUSING & DEV.BANK,EG,EGP,30101010.0,52274571.0,373389795.5659533,0.14,1.0,0.14,9.918537369393762e-05
60503,2010-06-21,B03MQ4,31906.0,TRABOSSA91B5,B03MQ48,BOSSA TIVSNY.ISTML.,TR,TRY,55101020.0,3242649.0,170665738.38830152,0.019,1.0,0.02,6.152577566313708e-06
60506,2010-06-21,551037,38114.0,TRADYHOL91Q7,B03MRH8,DOGAN YAYIN HOLDING,TR,TRY,40301030.0,112786374.0,896553064.3484671,0.1258,1.0,0.13,0.0002140000087762
